benchmark,experiment,theorems_attempted,theorems_proved,pass_rate,timeout_rate,mean_proof_time_in_secs,prompt_state_count,model_called_state_count,no_start_goal_count,output_count,model_called_output_count,accepted_action_count,parsed_tactic_count,parse_error_count,accepted_action_rate_after_model_call,parsed_tactic_rate,parse_error_rate,valid_tactics_per_model_called_state,parsed_tactics_per_model_called_state,outputs_per_model_called_state,early_dead_end_rate,zero_parsed_state_rate,mean_generation_time_in_secs,top_tactics,generation_reason_counts,proof_tree_file_count,mean_node_count,mean_edge_count,mean_average_branching_factor,single_node_tree_rate
CoreEval 250,E1,127,49,0.3858267716535433,0.5826771653543307,231.33838735978435,151,151,0,1821,1821,1821,1821,0,1.0,1.0,0.0,12.059602649006623,12.059602649006623,12.059602649006623,0.0,0.0,0.6701029878578438,"[('simp', 51), ('cases h', 33), ('rfl', 31), ('cases n', 21), ('cases p', 18), ('cases hp', 17), ('simp [h]', 17), ('simp [hp]', 15), ('rintro rfl', 14), ('exact hp', 14)]",{},128,3.140625,4.1796875,4.163934426229508,0.046875
CoreEval 250,E3,141,43,0.3049645390070922,0.624113475177305,195.71499963855067,163,163,0,2093,2093,2093,2093,0,1.0,1.0,0.0,12.840490797546012,12.840490797546012,12.840490797546012,0.0,0.0,0.6653775232701213,"[('simp', 38), ('cases h', 24), ('rfl', 23), ('exact h', 21), ('by [].', 18), ('decide', 17), ('rw [h]', 17), ('cases p', 17), ('rintro rfl', 15), ('right', 15)]",{},141,2.9148936170212765,3.0638297872340425,3.2580645161290325,0.12056737588652482
CoreEval 250,E4,198,126,0.6363636363636364,0.3181818181818182,150.5111589263184,242,242,0,3095,3095,3095,3095,0,1.0,1.0,0.0,12.789256198347108,12.789256198347108,12.789256198347108,0.0,0.0,0.6268551960464351,"[('simp', 79), ('cases h', 52), ('rfl', 49), ('simp [h]', 32), ('subst h', 24), ('rw [h]', 24), ('cases n', 24), ('simp [*]', 23), ('simp [hp]', 21), ('cases p', 20)]",{},198,3.2323232323232323,3.984848484848485,3.9285714285714284,0.045454545454545456
miniF2F easy-10,E1,10,1,0.1,0.9,608.4864518880844,13,13,0,149,149,149,149,0,1.0,1.0,0.0,11.461538461538462,11.461538461538462,11.461538461538462,0.0,0.0,0.8237725037794846,"[('norm_num', 10), ('ring', 7), ('rw [h₁, h₂]', 4), ('norm_num1', 3), ('decide', 3), ('rfl', 3), ('omega', 2), ('rw [h₃]', 2), ('simp [h₁]', 2), ('simp', 2)]",{},10,2.5,2.2,2.75,0.2
miniF2F easy-10,E3,10,2,0.2,0.6,517.1686776638031,14,14,0,168,168,168,168,0,1.0,1.0,0.0,12.0,12.0,12.0,0.0,0.0,0.7528571231024606,"[('ring', 7), ('norm_num', 5), ('rw [h₁]', 4), ('linarith', 3), ('field_simp', 2), ('ring1', 2), ('simp [h₂]', 2), ('rw [← h₁]', 2), ('have h₃ := mul_eq_mul_of_one_ne_zero h₂', 1), ('gcongr', 1)]",{},10,2.5,1.7,2.4285714285714284,0.3
miniF2F easy-10,E4,10,1,0.1,0.7,406.7683383464813,11,11,0,126,126,126,126,0,1.0,1.0,0.0,11.454545454545455,11.454545454545455,11.454545454545455,0.0,0.0,0.7376373030922629,"[('norm_num', 6), ('ring', 6), ('simp', 6), ('simp [h₁, h₂]', 3), ('simp [h₂]', 3), ('rw [add_comm]', 2), ('simp [h₁]', 2), ('rw [div_eq_mul_inv, mul_assoc, div_eq_mul_inv, mul_assoc, mul_comm (10 * y), mul_comm (10 * x)]', 1), (""rw [h₂, mul_div_cancel₀, div_eq_mul_inv, ← mul_assoc, mul_div_cancel₀ (two_ne_zero' ℝ)]"", 1), ('rw [← mul_div_assoc, ← mul_assoc, ← mul_assoc, ← mul_assoc, mul_comm]', 1)]",{},10,2.5,2.3,2.875,0.2
